RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status
03	false	1	209	1	993.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	2	275	4	1061.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	3	362	5	982.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	4	298	4	963.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	5	138	3	1015.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	6	186	6	1076.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	7	266	9	1061.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	8	198	10	937.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	9	289	12	877.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	10	342	12	856.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	11	651	12	921.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	12	178	3	974.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	13	224	2	1050.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	14	105	5	1380.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
03	false	15	174	3	1352.00	1	2537	Down	UNDEFINEDnull	Was the person thinking about their grades?	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	p	Up	y	UNDEFINEDnull	0	Eng	3	p	UNDEFINEDnull	UNDEFINEDnull	UNDEFINEDnull	incorrect	I locked myself out yesterday because I was thinking about my exams.	UNDEFINEDnull	UNDEFINEDnull
