"RECORDING_SESSION_LABEL"	"CURRENT_FIX_ADJUSTED"	"CURRENT_FIX_DURATION"	"CURRENT_FIX_INDEX"	"CURRENT_FIX_INTEREST_AREA_INDEX"	"CURRENT_FIX_PUPIL"	"TRIAL_INDEX"	"button_RT"	"button_pressed"	"combined_cs_status"	"comp_q"	"cs_word"	"cs_word_char_position"	"cs_word_length"	"cs_word_or_combo"	"cs_word_or_combo_char_position"	"cs_word_or_combo_length"	"cs_word_or_combo_word_position"	"cs_word_word_position"	"cword"	"cword_char_position"	"cword_length"	"cword_word_position"	"e_status"	"exp_button"	"exp_response"	"frame_cword_space"	"item_num"	"lang"	"list"	"p_status"	"pre_cs_word_frame_space"	"pre_cs_word_or_combo_space"	"pre_cword_frame_space"	"response_accuracy"	"sent"	"sent_length_words"	"taboo_status"
"1"	3	"false"	218	1	11	720	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"2"	3	"false"	138	2	8	722	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"3"	3	"false"	177	3	2	656	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"4"	3	"false"	192	4	2	617	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"5"	3	"false"	207	5	4	581	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"6"	3	"false"	166	6	2	583	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"7"	3	"false"	168	7	6	587	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"8"	3	"false"	188	8	9	601	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"9"	3	"false"	170	9	10	598	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
"10"	3	"false"	211	10	11	583	1	2253	"Up"	"UNDEFINEDnull"	"Did Marc apply for the job?"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	1	"p"	"Up"	"y"	"UNDEFINEDnull"	0	"Eng"	3	"p"	"UNDEFINEDnull"	"UNDEFINEDnull"	"UNDEFINEDnull"	"correct"	"Marc applied for the job even though he doesn't fully satisfy the criteria."	"UNDEFINEDnull"	"UNDEFINEDnull"
